LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
STARD10,Phosphatidylcholine (36:2),2,609,610,40,in cellulo; in vitro
STARD10,Phosphatidylethanolamine (30:1),2,611,612,2,in vitro
STARD10,Phosphatidylethanolamine (30:2),2,613,614,2,in vitro
STARD10,Phosphatidylethanolamine (31:1),2,615,616,2,in vitro
STARD10,Phosphatidylethanolamine (33:1),2,619,620,2,in vitro
STARD10,Phosphatidylethanolamine (34:1),2,622,623,4,in vitro
STARD10,Phosphatidylethanolamine (34:3),2,625,626,2,in vitro
STARD10,Phosphatidylethanolamine (35:1),2,627,628,2,in vitro
STARD10,Phosphatidylethanolamine (35:2),2,629,630,2,in vitro
STARD10,Phosphatidylethanolamine (36:3),2,632,633,2,in vitro
STARD10,Phosphatidylethanolamine (37:2),2,634,635,2,in vitro
STARD10,Phosphatidylglycerol (30:1),2,637,638,2,in vitro
STARD10,Phosphatidylglycerol (32:1),3,640,5348;5369,15,in vitro
STARD10,Phosphatidylglycerol (32:2),2,641,642,11,in vitro
STARD10,Phosphatidylglycerol (33:1),2,643,644,2,in vitro
STARD10,Phosphatidylglycerol (34:1),2,646,647,18,in vitro
STARD10,Phosphatidylglycerol (34:2),2,648,649,4,in vitro
STARD10,Phosphatidylglycerol (35:1),2,651,652,2,in vitro
STARD10,Phosphatidylglycerol (37:2),2,657,658,2,in vitro
STARD2,Phosphatidylcholine (32:1),2,663,664,16,in cellulo; in vitro
STARD2,Phosphatidylcholine (34:1),2,667,668,21,in cellulo; in vitro
STARD2,Phosphatidylcholine (34:2),2,669,670,31,in cellulo; in vitro
STARD2,Phosphatidylcholine (36:2),2,674,675,40,in cellulo; in vitro
STARD2,Phosphatidylcholine (40:6),3,691,692;693,13,in cellulo; in vitro
TTPA,Phosphatidylglycerol (30:1),2,700,701,2,in vitro
TTPA,Phosphatidylglycerol (35:2),2,703,704,2,in vitro
TTPAL,Phosphatidylethanolamine (30:1),2,710,711,2,in vitro
TTPAL,Phosphatidylethanolamine (31:1),2,712,713,2,in vitro
TTPAL,Phosphatidylethanolamine (34:1),3,715,721;722,6,in vitro
TTPAL,Phosphatidylethanolamine (33:1),2,717,718,2,in vitro
TTPAL,Phosphatidylethanolamine (33:2),2,719,720,2,in vitro
TTPAL,Phosphatidylethanolamine (35:2),2,725,726,2,in vitro
TTPAL,Phosphatidylglycerol (28:1),2,729,730,2,in vitro
TTPAL,Phosphatidylglycerol (30:1),3,732,733;734,4,in vitro
TTPAL,Phosphatidylglycerol (31:1),2,735,736,2,in vitro
TTPAL,Phosphatidylglycerol (32:1),3,738,739;10687,15,in vitro
TTPAL,Phosphatidylglycerol (33:1),2,741,742,2,in vitro
TTPAL,Phosphatidylglycerol (34:2),2,745,746,2,in vitro
TTPAL,Phosphatidylglycerol (35:1),2,747,748,2,in vitro
TTPAL,Phosphatidylglycerol (35:2),2,749,750,2,in vitro
TTPAL,Phosphatidylglycerol (36:3),2,752,753,2,in vitro
TTPAL,Phosphatidylglycerol (37:2),2,754,755,2,in vitro
ATCAY,Phosphatidylcholine (32:2),2,759,1057,13,in cellulo
ATCAY,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,788,942,16,in cellulo
ATCAY,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,794,1027,3,in cellulo
ATCAY,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,795,879,1,in cellulo
ATCAY,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,796,883,2,in cellulo
ATCAY,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,797,882,2,in cellulo
