LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
STARD11,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,5443,5554,1,in cellulo
STARD11,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,5454,5573,1,in vitro
STARD11,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,5470,5605,5,in vitro
STARD11,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,5472,5604,7,in vitro
STARD11,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,5483,5621,3,in vitro
STARD11,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,5486,5622,3,in vitro
STARD11,Phosphatidylglycerol (32:1),3,5489,5640;5660,15,in vitro
STARD11,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,5493,5531,2,in vitro
STARD11,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,5524,5582,2,in vitro
STARD11,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,5527,5579,1,in vitro
STARD11,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,5547,5657,4,in vitro
STARD11,Hexosyl ceramide (d42:1),2,5596,5597,8,in cellulo
STARD11,Hexosyl ceramide (d42:2),2,5598,5599,4,in cellulo
STARD11,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,5607,5608,8,in cellulo
STARD11,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,5609,5610,4,in cellulo
STARD11,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,5623,5624,2,in cellulo
STARD11,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,5626,5627,2,in cellulo
CRABP2,Phosphatidylcholine (32:2),2,5666,5963,13,in cellulo
CRABP2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,5695,5848,16,in cellulo
CRABP2,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,5701,5933,3,in cellulo
CRABP2,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,5702,5785,1,in cellulo
CRABP2,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,5703,5789,2,in cellulo
CRABP2,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,5704,5788,2,in cellulo
CRABP2,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,5705,5783,2,in cellulo
CRABP2,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,5706,5787,2,in cellulo
CRABP2,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,5708,5784,5,in cellulo
CRABP2,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,5725,5969,1,in cellulo
CRABP2,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,5729,5928,3,in cellulo
CRABP2,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,5736,5862,1,in cellulo
CRABP2,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,5762,5881,1,in vitro
CRABP2,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,5778,5913,5,in vitro
CRABP2,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,5780,5912,7,in vitro
CRABP2,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,5791,5929,3,in vitro
CRABP2,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,5794,5930,3,in vitro
CRABP2,Phosphatidylglycerol (32:1),3,5797,5948;5971,15,in vitro
CRABP2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,5801,5839,2,in vitro
CRABP2,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,5832,5890,2,in vitro
CRABP2,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,5835,5887,1,in vitro
CRABP2,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,5855,5968,4,in vitro
CRABP2,Hexosyl ceramide (d42:1),2,5904,5905,8,in cellulo
CRABP2,Hexosyl ceramide (d42:2),2,5906,5907,4,in cellulo
CRABP2,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,5915,5916,8,in cellulo
CRABP2,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,5917,5918,4,in cellulo
CRABP2,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,5931,5932,2,in cellulo
CRABP2,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,5934,5935,2,in cellulo
FABP1,Phosphatidylcholine (32:2),2,5977,6251,13,in cellulo
FABP1,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,6006,6144,16,in cellulo
FABP1,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,6012,6221,3,in cellulo
FABP1,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,6013,6085,1,in cellulo
FABP1,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,6014,6089,2,in cellulo
FABP1,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,6015,6088,2,in cellulo
FABP1,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,6016,6083,2,in cellulo
FABP1,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,6017,6087,2,in cellulo
FABP1,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,6019,6084,5,in cellulo
FABP1,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,6036,6257,1,in cellulo
FABP1,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,6040,6216,3,in cellulo
FABP1,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,6047,6157,1,in cellulo
FABP1,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,6078,6201,5,in vitro
FABP1,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,6080,6200,7,in vitro
FABP1,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,6091,6217,3,in vitro
FABP1,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,6094,6218,3,in vitro
FABP1,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,6100,6136,2,in vitro
FABP1,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,6129,6184,2,in vitro
FABP1,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,6132,6182,1,in vitro
FABP1,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,6150,6256,4,in vitro
FABP1,Hexosyl ceramide (d42:1),2,6192,6193,8,in cellulo
FABP1,Hexosyl ceramide (d42:2),2,6194,6195,4,in cellulo
FABP1,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,6203,6204,8,in cellulo
FABP1,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,6205,6206,4,in cellulo
FABP1,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,6219,6220,2,in cellulo
FABP1,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,6222,6223,2,in cellulo
FABP5,Phosphatidylcholine (32:2),2,6265,6553,13,in cellulo
FABP5,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,6294,6438,16,in cellulo
FABP5,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,6300,6523,3,in cellulo
FABP5,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,6301,6376,1,in cellulo
FABP5,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,6302,6380,2,in cellulo
FABP5,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,6303,6379,2,in cellulo
FABP5,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,6304,6374,2,in cellulo
FABP5,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,6305,6378,2,in cellulo
FABP5,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,6307,6375,5,in cellulo
FABP5,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,6324,6559,1,in cellulo
FABP5,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,6328,6518,3,in cellulo
FABP5,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,6335,6452,1,in cellulo
FABP5,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,6361,6471,1,in vitro
FABP5,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,6369,6503,5,in vitro
FABP5,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,6371,6502,7,in vitro
FABP5,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,6382,6519,3,in vitro
FABP5,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,6385,6520,3,in vitro
FABP5,Phosphatidylglycerol (32:1),3,6388,6538;6561,15,in vitro
FABP5,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,6392,6429,2,in vitro
FABP5,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,6422,6480,2,in vitro
FABP5,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,6425,6477,1,in vitro
FABP5,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,6445,6558,4,in vitro
FABP5,Hexosyl ceramide (d42:1),2,6494,6495,8,in cellulo
FABP5,Hexosyl ceramide (d42:2),2,6496,6497,4,in cellulo
FABP5,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,6505,6506,8,in cellulo
FABP5,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,6507,6508,4,in cellulo
FABP5,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,6521,6522,2,in cellulo
FABP5,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,6524,6525,2,in cellulo
FABP7,Phosphatidylcholine (32:2),2,6567,6857,13,in cellulo
FABP7,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,6596,6742,16,in cellulo
FABP7,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,6602,6827,3,in cellulo
FABP7,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,6603,6680,1,in cellulo
FABP7,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,6604,6684,2,in cellulo
FABP7,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,6605,6683,2,in cellulo
FABP7,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,6606,6678,2,in cellulo
FABP7,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,6607,6682,2,in cellulo
FABP7,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,6609,6679,5,in cellulo
FABP7,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,6626,6863,1,in cellulo
FABP7,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,6630,6822,3,in cellulo
FABP7,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,6637,6756,1,in cellulo
FABP7,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,6663,6775,1,in vitro
FABP7,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,6673,6807,5,in vitro
FABP7,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,6675,6806,7,in vitro
FABP7,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,6686,6823,3,in vitro
FABP7,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,6689,6824,3,in vitro
FABP7,Phosphatidylglycerol (32:1),3,6692,6842;6865,15,in vitro
FABP7,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,6696,6733,2,in vitro
FABP7,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,6726,6784,2,in vitro
FABP7,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,6729,6781,1,in vitro
FABP7,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,6749,6862,4,in vitro
FABP7,Hexosyl ceramide (d42:1),2,6798,6799,8,in cellulo
FABP7,Hexosyl ceramide (d42:2),2,6800,6801,4,in cellulo
FABP7,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,6809,6810,8,in cellulo
FABP7,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,6811,6812,4,in cellulo
FABP7,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,6825,6826,2,in cellulo
FABP7,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,6828,6829,2,in cellulo
HSDL2,Phosphatidylcholine (32:2),2,6871,7164,13,in cellulo
HSDL2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,6900,7049,16,in cellulo
HSDL2,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,6906,7134,3,in cellulo
HSDL2,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,6907,6990,1,in cellulo
HSDL2,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,6908,6994,2,in cellulo
HSDL2,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,6909,6993,2,in cellulo
HSDL2,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,6910,6988,2,in cellulo
HSDL2,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,6911,6992,2,in cellulo
HSDL2,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,6913,6989,5,in cellulo
HSDL2,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,6930,7170,1,in cellulo
HSDL2,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,6934,7129,3,in cellulo
HSDL2,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,6941,7063,1,in cellulo
HSDL2,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,6968,7082,1,in vitro
HSDL2,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,6983,7114,5,in vitro
HSDL2,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,6985,7113,7,in vitro
HSDL2,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,6996,7130,3,in vitro
HSDL2,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,6999,7131,3,in vitro
HSDL2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,7002,7040,2,in vitro
HSDL2,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,7033,7091,2,in vitro
HSDL2,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,7036,7088,1,in vitro
HSDL2,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,7056,7169,4,in vitro
HSDL2,Hexosyl ceramide (d42:1),2,7105,7106,8,in cellulo
HSDL2,Hexosyl ceramide (d42:2),2,7107,7108,4,in cellulo
HSDL2,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,7116,7117,8,in cellulo
HSDL2,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,7118,7119,4,in cellulo
HSDL2,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,7132,7133,2,in cellulo
HSDL2,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,7135,7136,2,in cellulo
LCN15,Phosphatidylcholine (32:2),2,7178,7471,13,in cellulo
LCN15,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,7207,7356,16,in cellulo
LCN15,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,7213,7441,3,in cellulo
LCN15,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,7214,7298,1,in cellulo
LCN15,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,7215,7302,2,in cellulo
LCN15,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,7216,7301,2,in cellulo
LCN15,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,7217,7296,2,in cellulo
LCN15,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,7218,7300,2,in cellulo
LCN15,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,7220,7297,5,in cellulo
LCN15,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,7237,7477,1,in cellulo
LCN15,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,7241,7436,3,in cellulo
LCN15,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,7248,7370,1,in cellulo
LCN15,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,7275,7389,1,in vitro
LCN15,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,7291,7421,5,in vitro
LCN15,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,7293,7420,7,in vitro
LCN15,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,7304,7437,3,in vitro
LCN15,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,7307,7438,3,in vitro
LCN15,Phosphatidylglycerol (32:1),3,7310,7456;7479,15,in vitro
LCN15,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,7341,7398,2,in vitro
LCN15,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,7344,7395,1,in vitro
LCN15,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,7363,7476,4,in vitro
LCN15,Hexosyl ceramide (d42:1),2,7412,7413,8,in cellulo
LCN15,Hexosyl ceramide (d42:2),2,7414,7415,4,in cellulo
LCN15,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,7423,7424,8,in cellulo
LCN15,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,7425,7426,4,in cellulo
LCN15,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,7439,7440,2,in cellulo
LCN15,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,7442,7443,2,in cellulo
OSBPL5,Phosphatidylcholine (32:2),2,7485,7780,13,in cellulo
OSBPL5,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,7512,7665,16,in cellulo
OSBPL5,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,7518,7750,3,in cellulo
OSBPL5,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,7519,7603,1,in cellulo
OSBPL5,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,7520,7607,2,in cellulo
OSBPL5,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,7521,7606,2,in cellulo
OSBPL5,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,7522,7601,2,in cellulo
OSBPL5,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,7523,7605,2,in cellulo
OSBPL5,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,7525,7602,5,in cellulo
OSBPL5,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,7542,7786,1,in cellulo
OSBPL5,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,7546,7745,3,in cellulo
OSBPL5,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,7553,7679,1,in cellulo
OSBPL5,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,7580,7698,1,in vitro
OSBPL5,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,7596,7730,5,in vitro
OSBPL5,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,7598,7729,7,in vitro
OSBPL5,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,7609,7746,3,in vitro
OSBPL5,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,7612,7747,3,in vitro
OSBPL5,Phosphatidylglycerol (32:1),3,7615,7765;7788,15,in vitro
OSBPL5,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,7619,7656,2,in vitro
OSBPL5,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,7649,7707,2,in vitro
OSBPL5,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,7652,7704,1,in vitro
OSBPL5,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,7672,7785,4,in vitro
OSBPL5,Hexosyl ceramide (d42:1),2,7721,7722,8,in cellulo
OSBPL5,Hexosyl ceramide (d42:2),2,7723,7724,4,in cellulo
OSBPL5,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,7732,7733,8,in cellulo
OSBPL5,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,7734,7735,4,in cellulo
OSBPL5,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,7748,7749,2,in cellulo
OSBPL5,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,7751,7752,2,in cellulo
PITPNC1,Phosphatidylcholine (32:2),2,7794,8081,13,in cellulo
PITPNC1,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,7822,7967,16,in cellulo
PITPNC1,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,7828,8051,3,in cellulo
PITPNC1,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,7829,7913,1,in cellulo
PITPNC1,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,7830,7917,2,in cellulo
PITPNC1,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,7831,7916,2,in cellulo
PITPNC1,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,7832,7911,2,in cellulo
PITPNC1,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,7833,7915,2,in cellulo
PITPNC1,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,7835,7912,5,in cellulo
PITPNC1,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,7852,8087,1,in cellulo
PITPNC1,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,7856,8046,3,in cellulo
PITPNC1,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,7863,7981,1,in cellulo
PITPNC1,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,7890,8000,1,in vitro
PITPNC1,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,7906,8031,5,in vitro
PITPNC1,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,7908,8030,7,in vitro
PITPNC1,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,7919,8047,3,in vitro
PITPNC1,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,7922,8048,3,in vitro
PITPNC1,Phosphatidylglycerol (32:1),3,7925,8066;8089,15,in vitro
PITPNC1,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,7929,7958,2,in vitro
PITPNC1,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,7951,8008,2,in vitro
PITPNC1,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,7954,8006,1,in vitro
PITPNC1,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,7974,8086,4,in vitro
PITPNC1,Hexosyl ceramide (d42:1),2,8022,8023,8,in cellulo
PITPNC1,Hexosyl ceramide (d42:2),2,8024,8025,4,in cellulo
PITPNC1,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,8033,8034,8,in cellulo
PITPNC1,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,8035,8036,4,in cellulo
PITPNC1,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,8049,8050,2,in cellulo
PITPNC1,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,8052,8053,2,in cellulo
PMP2,Phosphatidylcholine (32:2),2,8095,8384,13,in cellulo
PMP2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,8124,8269,16,in cellulo
PMP2,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,8130,8354,3,in cellulo
PMP2,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,8131,8207,1,in cellulo
PMP2,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,8132,8211,2,in cellulo
PMP2,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,8133,8210,2,in cellulo
PMP2,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,8134,8205,2,in cellulo
PMP2,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,8135,8209,2,in cellulo
PMP2,Sphingomyelin (d36:2);Sphingomyelin (DH36:2),2,8137,8206,5,in cellulo
PMP2,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,8154,8390,1,in cellulo
PMP2,Sphingomyelin (d34:1);Sphingomyelin (DH34:1),2,8158,8349,3,in cellulo
PMP2,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,8165,8283,1,in cellulo
PMP2,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,8191,8302,1,in vitro
PMP2,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,8200,8334,5,in vitro
PMP2,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,8202,8333,7,in vitro
PMP2,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),2,8213,8350,3,in vitro
PMP2,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),2,8216,8351,3,in vitro
PMP2,Phosphatidylglycerol (32:1),3,8219,8369;8392,15,in vitro
PMP2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,8223,8260,2,in vitro
PMP2,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,8253,8311,2,in vitro
PMP2,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,8256,8308,1,in vitro
PMP2,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,8276,8389,4,in vitro
PMP2,Hexosyl ceramide (d42:1),2,8325,8326,8,in cellulo
PMP2,Hexosyl ceramide (d42:2),2,8327,8328,4,in cellulo
PMP2,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,8336,8337,8,in cellulo
PMP2,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,8338,8339,4,in cellulo
PMP2,Sphingomyelin (d40:1);Sphingomyelin (DH40:1),2,8352,8353,2,in cellulo
PMP2,Sphingomyelin (d42:2);Sphingomyelin (DH42:2),2,8355,8356,2,in cellulo
RBP5,Phosphatidylcholine (32:2),2,8398,8695,13,in cellulo
RBP5,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,8427,8580,16,in cellulo
RBP5,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,8433,8665,3,in cellulo
RBP5,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,8434,8517,1,in cellulo
RBP5,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,8435,8521,2,in cellulo
RBP5,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,8436,8520,2,in cellulo
RBP5,Sphingomyelin (d42:1);Sphingomyelin (DH42:1),2,8437,8515,2,in cellulo
RBP5,Sphingomyelin (d33:1);Sphingomyelin (DH33:1),2,8438,8519,2,in cellulo
