pair_id,LTPProtein,ProteinDomain,Lipid,fig3a_class
4237,SEC14L6,CRAL-TRIO,PE(38:2),PE
4253,SEC14L6,CRAL-TRIO,PE(36:1),PE
4259,SEC14L6,CRAL-TRIO,PE(33:2),PE
4265,SEC14L6,CRAL-TRIO,PC(O-20:3)/LPC(20:3),PC-O
4268,SEC14L6,CRAL-TRIO,PE(35:2),PE
4271,SEC14L6,CRAL-TRIO,PE(31:1),PE
4273,SEC14L6,CRAL-TRIO,PC(O-36:5)/LPC(36:5),PC-O
4274,SEC14L6,CRAL-TRIO,PC(O-36:6)/LPC(36:6),PC-O
4275,SEC14L6,CRAL-TRIO,PC(O-37:6),PC-O
4276,SEC14L6,CRAL-TRIO,PC(O-34:3),PC-O
4277,SEC14L6,CRAL-TRIO,PC(O-35:5),PC-O
4278,SEC14L6,CRAL-TRIO,PC(O-36:3),PC-O
4279,SEC14L6,CRAL-TRIO,PC(O-34:4)/LPC(34:4),PC-O
4280,SEC14L6,CRAL-TRIO,PC(40:8),PC
4281,SEC14L6,CRAL-TRIO,PC(42:8),PC
4282,SEC14L6,CRAL-TRIO,PC(37:5),PC
4283,SEC14L6,CRAL-TRIO,PC(39:6),PC
4284,SEC14L6,CRAL-TRIO,PC(O-33:3),PC-O
4285,SEC14L6,CRAL-TRIO,PC(O-34:5)/LPC(34:5),PC-O
4286,SEC14L6,CRAL-TRIO,PC(O-32:3),PC-O
4287,SEC14L6,CRAL-TRIO,PC(34:4),PC
4288,SEC14L6,CRAL-TRIO,PC(35:4),PC
4289,SEC14L6,CRAL-TRIO,PC(O-38:8),PC-O
4290,SEC14L6,CRAL-TRIO,PC(42:10),PC
4291,SEC14L6,CRAL-TRIO,PC(O-37:4),PC-O
4292,SEC14L6,CRAL-TRIO,PE(28:1),PE
4295,SEC14L6,CRAL-TRIO,PE(37:2),PE
4296,SEC14L6,CRAL-TRIO,PE(32:0),PE
4300,SEC14L6,CRAL-TRIO,PE(30:2),PE
4305,SEC14L6,CRAL-TRIO,PE(36:3),PE
4310,SEC14L6,CRAL-TRIO,PE(32:2),PE
4343,SEC14L6,CRAL-TRIO,PE(28:0),PE
4344,SEC14L6,CRAL-TRIO,PE(35:1),PE
4359,SEC14L6,CRAL-TRIO,PE(34:3),PE
4364,SEC14L6,CRAL-TRIO,PC(39:4),PC
4365,SEC14L6,CRAL-TRIO,PC(39:5),PC
4366,SEC14L6,CRAL-TRIO,PC(40:5),PC
4367,SEC14L6,CRAL-TRIO,PC(40:6),PC
4371,STARD2,START,PC(19:1),PC
4374,STARD2,START,PC(17:1),PC
4381,STARD2,START,PC(O-32:0),PC-O
4382,STARD2,START,PC(O-30:0)/LPC(30:0),PC-O
4402,STARD2,START,PC(40:2),PC
4403,STARD2,START,PC(O-38:3),PC-O
4404,STARD2,START,PC(O-36:5),PC-O
4407,STARD2,START,PC(33:2),PC
4408,STARD2,START,PC(30:2),PC
4432,STARD2,START,PC(O-18:1)/LPC(18:1),PC-O
4468,STARD2,START,PC(34:0),PC
4507,STARD2,START,PC(O-20:3)/LPC(20:3),PC-O
4588,STARD10,START,PC(36:1),PC
4589,STARD10,START,PC(33:1),PC
4590,STARD10,START,PC(30:0),PC
4591,STARD10,START,PC(19:1),PC
4593,STARD10,START,PC(17:1),PC
4594,STARD10,START,PC(31:1),PC
4595,STARD10,START,PC(32:0),PC
4596,STARD10,START,PE(38:4),PE
4601,STARD10,START,PC(35:1),PC
4602,STARD10,START,PC(O-32:0),PC-O
4603,STARD10,START,PC(O-32:2),PC-O
4604,STARD10,START,PC(O-30:0)/LPC(30:0),PC-O
4624,STARD10,START,PC(40:2),PC
4625,STARD10,START,PC(O-38:3),PC-O
4626,STARD10,START,PC(O-37:7),PC-O
4627,STARD10,START,PC(O-36:5),PC-O
4630,STARD10,START,PC(O-38:6),PC-O
4631,STARD10,START,PC(31:0),PC
4632,STARD10,START,PC(30:2),PC
4634,STARD10,START,PC(O-38:7),PC-O
4637,STARD10,START,PC(38:3),PC
4638,STARD10,START,PC(O-40:6),PC-O
4639,STARD10,START,PC(36:5),PC
4640,STARD10,START,PC(O-36:1),PC-O
4641,STARD10,START,PC(36:6),PC
4659,STARD10,START,PC(O-18:1)/LPC(18:1),PC-O
4673,STARD10,START,PE(O-16:0)/LPE(16:0),PE-O
4690,STARD10,START,PC(34:0),PC
4691,STARD10,START,PC(40:4),PC
4692,STARD10,START,PC(37:4),PC
4698,STARD10,START,PE(30:0),PE
4720,STARD10,START,PE(O-16:1)/LPE(16:1),PE-O
4723,STARD10,START,PC(O-20:3)/LPC(20:3),PC-O
4724,STARD10,START,PE(O-18:1)/LPE(18:1),PE-O
4728,STARD10,START,PC(O-36:5)/LPC(36:5),PC-O
4729,STARD10,START,PC(O-36:6)/LPC(36:6),PC-O
4730,STARD10,START,PC(O-37:6),PC-O
4731,STARD10,START,PC(O-34:3),PC-O
4732,STARD10,START,PC(O-35:5),PC-O
4733,STARD10,START,PC(O-36:3),PC-O
4734,STARD10,START,PC(O-34:4)/LPC(34:4),PC-O
4735,STARD10,START,PC(40:8),PC
4736,STARD10,START,PC(42:8),PC
4737,STARD10,START,PC(37:5),PC
4738,STARD10,START,PC(39:6),PC
4739,STARD10,START,PC(O-33:3),PC-O
4740,STARD10,START,PC(O-34:5)/LPC(34:5),PC-O
4741,STARD10,START,PC(O-32:3),PC-O
4742,STARD10,START,PC(34:4),PC
4743,STARD10,START,PC(35:4),PC
4744,STARD10,START,PC(O-38:8),PC-O
4745,STARD10,START,PC(42:10),PC
4746,STARD10,START,PC(O-37:4),PC-O
4747,STARD10,START,PE(32:0),PE
4748,STARD10,START,PG(37:1),PG
4750,STARD10,START,PG(29:1),PG
4782,STARD10,START,PG(30:0),PG
4785,STARD10,START,PE(28:0),PE
4786,STARD10,START,PG(28:0),PG
4787,STARD10,START,PG(28:1),PG
4788,STARD10,START,PG(31:1),PG
4801,STARD10,START,PC(39:4),PC
4802,STARD10,START,PC(39:5),PC
4803,STARD10,START,PC(40:5),PC
4804,STARD10,START,PC(40:6),PC
4805,STARD10,START,PG(32:0),PG
4808,STARD11,START,PC(36:1),PC
4809,STARD11,START,PC(32:2),PC
4811,STARD11,START,PC(36:3),PC
4812,STARD11,START,PC(33:1),PC
4813,STARD11,START,PC(38:2),PC
4814,STARD11,START,PC(30:0),PC
4816,STARD11,START,PC(19:1),PC
4821,STARD11,START,PC(17:1),PC
4822,STARD11,START,PC(31:1),PC
4823,STARD11,START,PC(32:0),PC
4829,STARD11,START,PC(36:2),PC
4830,STARD11,START,PC(30:1),PC
4832,STARD11,START,PC(35:2),PC
4833,STARD11,START,PC(34:3),PC
4834,STARD11,START,PC(35:1),PC
4857,STARD11,START,PC(40:2),PC
4863,STARD11,START,PC(36:4),PC
4864,STARD11,START,PC(33:2),PC
4865,STARD11,START,PC(38:5),PC
4866,STARD11,START,PC(38:6),PC
4869,STARD11,START,PC(31:0),PC
4870,STARD11,START,PC(40:7),PC
4871,STARD11,START,PC(30:2),PC
4874,STARD11,START,PC(34:2),PC
4878,STARD11,START,PC(38:3),PC
4880,STARD11,START,PC(38:7),PC
4882,STARD11,START,PC(38:4),PC
4883,STARD11,START,PC(36:5),PC
4885,STARD11,START,PC(36:6),PC
4917,STARD11,START,TAG(54:2),TAG
4918,STARD11,START,TAG(32:0),TAG
4920,STARD11,START,TAG(56:5),TAG
4926,STARD11,START,PC(34:0),PC
4929,STARD11,START,PC(40:4),PC
4930,STARD11,START,PC(37:4),PC
4982,STARD11,START,PC(40:8),PC
4983,STARD11,START,PC(42:8),PC
4984,STARD11,START,PC(37:5),PC
4985,STARD11,START,PC(39:6),PC
4989,STARD11,START,PC(34:4),PC
4990,STARD11,START,PC(35:4),PC
4992,STARD11,START,PC(42:10),PC
5063,STARD11,START,PC(39:4),PC
5064,STARD11,START,PC(39:5),PC
5065,STARD11,START,PC(40:5),PC
5066,STARD11,START,PC(40:6),PC
5172,CRABP2,lipocalin,FA(20:4),FA
5173,CRABP2,lipocalin,FA(19:1),FA
5175,CRABP2,lipocalin,FA(18:2),FA
5176,CRABP2,lipocalin,FA(22:5),FA
5177,CRABP2,lipocalin,FA(20:3),FA
5178,CRABP2,lipocalin,FA(16:1),FA
5179,CRABP2,lipocalin,FA(20:5),FA
5180,CRABP2,lipocalin,FA(22:4),FA
5181,CRABP2,lipocalin,FA(22:3),FA
5183,CRABP2,lipocalin,FA(18:3),FA
5228,CRABP2,lipocalin,FA(18:1),FA
5356,FABP1,lipocalin,PE(34:1),PE
5361,FABP1,lipocalin,PE(36:2),PE
5366,FABP1,lipocalin,PE(34:2),PE
5370,FABP1,lipocalin,PE(32:1),PE
5371,FABP1,lipocalin,PE(38:4),PE
5383,FABP1,lipocalin,PC(O-30:0)/LPC(30:0),LPC
5414,FABP1,lipocalin,PC(O-38:5)/LPC(38:5),LPC
5425,FABP1,lipocalin,PC(O-36:4)/LPC(36:4),LPC
5450,FABP1,lipocalin,FA(20:5),FA
5451,FABP1,lipocalin,FA(22:4),FA
5452,FABP1,lipocalin,FA(22:3),FA
5454,FABP1,lipocalin,FA(18:3),FA
5455,FABP1,lipocalin,PE(O-16:0)/LPE(16:0),LPE
5474,FABP1,lipocalin,PE(33:1),PE
5476,FABP1,lipocalin,PG(36:3),PG
5479,FABP1,lipocalin,PG(34:3),PG
5485,FABP1,lipocalin,PE(30:0),PE
5487,FABP1,lipocalin,PE(38:2),PE
5502,FABP1,lipocalin,PE(36:1),PE
5506,FABP1,lipocalin,PG(30:1),PG
5507,FABP1,lipocalin,PG(32:2),PG
5508,FABP1,lipocalin,LPG(17:1),LPG
5509,FABP1,lipocalin,LPC(18:2),LPC
5510,FABP1,lipocalin,PE(O-16:1)/LPE(16:1),LPE
5511,FABP1,lipocalin,LPC(20:4),LPC
5512,FABP1,lipocalin,LPC(22:5),LPC
5513,FABP1,lipocalin,PC(O-20:3)/LPC(20:3),LPC
5514,FABP1,lipocalin,PE(O-18:1)/LPE(18:1),LPE
5516,FABP1,lipocalin,PE(35:2),PE
5518,FABP1,lipocalin,LPE(18:0),LPE
5519,FABP1,lipocalin,PE(31:1),PE
5520,FABP1,lipocalin,PC(O-36:5)/LPC(36:5),LPC
5521,FABP1,lipocalin,PC(O-36:6)/LPC(36:6),LPC
5526,FABP1,lipocalin,PC(O-34:4)/LPC(34:4),LPC
5532,FABP1,lipocalin,PC(O-34:5)/LPC(34:5),LPC
5539,FABP1,lipocalin,PE(28:1),PE
5542,FABP1,lipocalin,PE(37:2),PE
5543,FABP1,lipocalin,PE(32:0),PE
5544,FABP1,lipocalin,PG(36:1),PG
5545,FABP1,lipocalin,PG(37:1),PG
5547,FABP1,lipocalin,PE(30:2),PE
5548,FABP1,lipocalin,PG(29:1),PG
5549,FABP1,lipocalin,PG(30:2),PG
5551,FABP1,lipocalin,PE(36:3),PE
5579,FABP1,lipocalin,PG(30:0),PG
5580,FABP1,lipocalin,PG(37:2),PG
5583,FABP1,lipocalin,PE(28:0),PE
5584,FABP1,lipocalin,PE(35:1),PE
5585,FABP1,lipocalin,PG(28:0),PG
5586,FABP1,lipocalin,PG(28:1),PG
5587,FABP1,lipocalin,PG(31:1),PG
5588,FABP1,lipocalin,PG(33:2),PG
5589,FABP1,lipocalin,PG(35:1),PG
5591,FABP1,lipocalin,LPC(18:0),LPC
5592,FABP1,lipocalin,LPC(18:1),LPC
5593,FABP1,lipocalin,LPE(19:1),LPE
5594,FABP1,lipocalin,LPG(19:1),LPG
5599,FABP1,lipocalin,PE(34:3),PE
5600,FABP1,lipocalin,PG(38:2),PG
5608,FABP1,lipocalin,PG(32:0),PG
5714,FABP5,lipocalin,FA(22:3),FA
5716,FABP5,lipocalin,FA(18:3),FA
5987,FABP7,lipocalin,FA(20:3),FA
5988,FABP7,lipocalin,FA(22:4),FA
5989,FABP7,lipocalin,FA(22:3),FA
5991,FABP7,lipocalin,FA(18:3),FA
6242,HSDL2,scp2,TAG(48:3),TAG
6243,HSDL2,scp2,TAG(50:2),TAG
6247,HSDL2,scp2,TAG(53:2),TAG
6249,HSDL2,scp2,TAG(47:2),TAG
6250,HSDL2,scp2,TAG(46:3),TAG
6257,HSDL2,scp2,FA(17:1),FA
6258,HSDL2,scp2,PG(36:2),PG
6262,HSDL2,scp2,FA(20:4),FA
6263,HSDL2,scp2,FA(19:1),FA
6265,HSDL2,scp2,FA(18:2),FA
6266,HSDL2,scp2,FA(22:5),FA
6267,HSDL2,scp2,FA(20:3),FA
6268,HSDL2,scp2,FA(16:1),FA
6269,HSDL2,scp2,FA(20:5),FA
6270,HSDL2,scp2,FA(22:4),FA
6272,HSDL2,scp2,FA(18:3),FA
6291,HSDL2,scp2,PG(34:1),PG
6292,HSDL2,scp2,PG(36:3),PG
6295,HSDL2,scp2,PG(34:3),PG
6313,HSDL2,scp2,FA(18:1),FA
6323,HSDL2,scp2,PG(30:1),PG
6324,HSDL2,scp2,PG(32:2),PG
6363,HSDL2,scp2,PG(36:1),PG
6364,HSDL2,scp2,PG(37:1),PG
6367,HSDL2,scp2,PG(29:1),PG
6368,HSDL2,scp2,PG(30:2),PG
6377,HSDL2,scp2,PG(33:1),PG
6378,HSDL2,scp2,PG(34:2),PG
6379,HSDL2,scp2,PG(35:2),PG
6405,HSDL2,scp2,PG(30:0),PG
6406,HSDL2,scp2,PG(37:2),PG
6411,HSDL2,scp2,PG(28:0),PG
6412,HSDL2,scp2,PG(28:1),PG
6413,HSDL2,scp2,PG(31:1),PG
6414,HSDL2,scp2,PG(33:2),PG
6415,HSDL2,scp2,PG(35:1),PG
6426,HSDL2,scp2,PG(38:2),PG
6434,HSDL2,scp2,PG(32:0),PG
6536,LCN15,lipocalin,PG(36:2),PG
6566,LCN15,lipocalin,PG(32:1),PG
6570,LCN15,lipocalin,PG(34:1),PG
6571,LCN15,lipocalin,PG(36:3),PG
6574,LCN15,lipocalin,PG(34:3),PG
6602,LCN15,lipocalin,PG(30:1),PG
6641,LCN15,lipocalin,PG(36:1),PG
6642,LCN15,lipocalin,PG(37:1),PG
6645,LCN15,lipocalin,PG(29:1),PG
6646,LCN15,lipocalin,PG(30:2),PG
6655,LCN15,lipocalin,PG(33:1),PG
6656,LCN15,lipocalin,PG(34:2),PG
6657,LCN15,lipocalin,PG(35:2),PG
6683,LCN15,lipocalin,PG(30:0),PG
6684,LCN15,lipocalin,PG(37:2),PG
6689,LCN15,lipocalin,PG(28:0),PG
6690,LCN15,lipocalin,PG(28:1),PG
6691,LCN15,lipocalin,PG(31:1),PG
6692,LCN15,lipocalin,PG(33:2),PG
6693,LCN15,lipocalin,PG(35:1),PG
6704,LCN15,lipocalin,PG(38:2),PG
6712,LCN15,lipocalin,PG(32:0),PG
6719,OSBPL5,OSBP,PE(34:1),PE
6731,OSBPL5,OSBP,PE(32:1),PE
6732,OSBPL5,OSBP,PE(38:4),PE
6814,OSBPL5,OSBP,PE(30:1),PE
6859,OSBPL5,OSBP,PE(30:0),PE
6861,OSBPL5,OSBP,PE(38:2),PE
6877,OSBPL5,OSBP,PE(36:1),PE
6883,OSBPL5,OSBP,PE(33:2),PE
6892,OSBPL5,OSBP,PE(35:2),PE
6895,OSBPL5,OSBP,PE(31:1),PE
6916,OSBPL5,OSBP,PE(28:1),PE
6919,OSBPL5,OSBP,PE(37:2),PE
6920,OSBPL5,OSBP,PE(32:0),PE
6924,OSBPL5,OSBP,PE(30:2),PE
6929,OSBPL5,OSBP,PE(36:3),PE
6934,OSBPL5,OSBP,PE(32:2),PE
6967,OSBPL5,OSBP,PE(28:0),PE
6968,OSBPL5,OSBP,PE(35:1),PE
6983,OSBPL5,OSBP,PE(34:3),PE
7015,PITPNC1,IP_trans,PI(36:2),PI
7016,PITPNC1,IP_trans,PI(36:1),PI
7049,PITPNC1,IP_trans,PI(34:1),PI
7151,PITPNC1,IP_trans,PA(33:2),PA
7252,PITPNC1,IP_trans,PI(38:2),PI
7253,PITPNC1,IP_trans,PI(38:3),PI
7254,PITPNC1,IP_trans,PI(38:5),PI
7370,PMP2,lipocalin,FA(22:4),FA
7371,PMP2,lipocalin,FA(22:3),FA
7373,PMP2,lipocalin,FA(18:3),FA
7639,RBP5,lipocalin,FA(17:1),FA
7644,RBP5,lipocalin,FA(20:4),FA
7645,RBP5,lipocalin,FA(19:1),FA
7647,RBP5,lipocalin,FA(18:2),FA
7648,RBP5,lipocalin,FA(22:5),FA
7649,RBP5,lipocalin,FA(20:3),FA
7650,RBP5,lipocalin,FA(20:5),FA
7651,RBP5,lipocalin,FA(22:4),FA
7652,RBP5,lipocalin,FA(22:3),FA
7654,RBP5,lipocalin,FA(18:3),FA
7699,RBP5,lipocalin,FA(18:1),FA
7821,RLBP1,CRAL-TRIO,PC(32:1),PC
7824,RLBP1,CRAL-TRIO,PC(36:1),PC
7825,RLBP1,CRAL-TRIO,PC(32:2),PC
7826,RLBP1,CRAL-TRIO,PC(36:3),PC
7827,RLBP1,CRAL-TRIO,PC(33:1),PC
7828,RLBP1,CRAL-TRIO,PC(38:2),PC
7829,RLBP1,CRAL-TRIO,PC(30:0),PC
7830,RLBP1,CRAL-TRIO,PC(19:1),PC
7834,RLBP1,CRAL-TRIO,PC(17:1),PC
7835,RLBP1,CRAL-TRIO,PC(31:1),PC
7836,RLBP1,CRAL-TRIO,PC(32:0),PC
7837,RLBP1,CRAL-TRIO,PE(32:1),PE
7838,RLBP1,CRAL-TRIO,PE(38:4),PE
7842,RLBP1,CRAL-TRIO,PC(30:1),PC
7844,RLBP1,CRAL-TRIO,PC(35:2),PC
7845,RLBP1,CRAL-TRIO,PC(34:3),PC
7846,RLBP1,CRAL-TRIO,PC(35:1),PC
7869,RLBP1,CRAL-TRIO,PC(40:2),PC
7875,RLBP1,CRAL-TRIO,PC(36:4),PC
7876,RLBP1,CRAL-TRIO,PC(33:2),PC
7877,RLBP1,CRAL-TRIO,PC(38:5),PC
7878,RLBP1,CRAL-TRIO,PC(38:6),PC
7881,RLBP1,CRAL-TRIO,PC(31:0),PC
7882,RLBP1,CRAL-TRIO,PC(40:7),PC
7883,RLBP1,CRAL-TRIO,PC(30:2),PC
7886,RLBP1,CRAL-TRIO,PC(34:2),PC
7891,RLBP1,CRAL-TRIO,PC(38:7),PC
7893,RLBP1,CRAL-TRIO,PC(38:4),PC
7894,RLBP1,CRAL-TRIO,PC(36:5),PC
7896,RLBP1,CRAL-TRIO,PC(36:6),PC
7915,RLBP1,CRAL-TRIO,FA(17:1),FA
7918,RLBP1,CRAL-TRIO,FA(20:4),FA
7919,RLBP1,CRAL-TRIO,FA(19:1),FA
7921,RLBP1,CRAL-TRIO,FA(18:2),FA
7922,RLBP1,CRAL-TRIO,FA(22:5),FA
7923,RLBP1,CRAL-TRIO,FA(20:3),FA
7924,RLBP1,CRAL-TRIO,FA(16:1),FA
7925,RLBP1,CRAL-TRIO,FA(20:5),FA
7926,RLBP1,CRAL-TRIO,FA(22:4),FA
7927,RLBP1,CRAL-TRIO,FA(22:3),FA
7929,RLBP1,CRAL-TRIO,FA(18:3),FA
7949,RLBP1,CRAL-TRIO,PC(34:0),PC
7950,RLBP1,CRAL-TRIO,PC(40:4),PC
7951,RLBP1,CRAL-TRIO,PC(37:4),PC
7952,RLBP1,CRAL-TRIO,PG(34:3),PG
7954,RLBP1,CRAL-TRIO,PA(35:1),PA
7955,RLBP1,CRAL-TRIO,PA(37:2),PA
7974,RLBP1,CRAL-TRIO,PC(40:8),PC
7975,RLBP1,CRAL-TRIO,PC(42:8),PC
7976,RLBP1,CRAL-TRIO,PC(37:5),PC
7977,RLBP1,CRAL-TRIO,PC(39:6),PC
7981,RLBP1,CRAL-TRIO,PC(34:4),PC
7982,RLBP1,CRAL-TRIO,PC(35:4),PC
7984,RLBP1,CRAL-TRIO,PC(42:10),PC
7988,RLBP1,CRAL-TRIO,PG(36:1),PG
7989,RLBP1,CRAL-TRIO,PG(37:1),PG
7990,RLBP1,CRAL-TRIO,PG(29:1),PG
7992,RLBP1,CRAL-TRIO,PA(33:1),PA
7993,RLBP1,CRAL-TRIO,PE(36:3),PE
8023,RLBP1,CRAL-TRIO,PG(37:2),PG
8032,RLBP1,CRAL-TRIO,PE(34:3),PE
8033,RLBP1,CRAL-TRIO,PG(38:2),PG
8037,RLBP1,CRAL-TRIO,PC(39:4),PC
8038,RLBP1,CRAL-TRIO,PC(39:5),PC
8039,RLBP1,CRAL-TRIO,PC(40:5),PC
8040,RLBP1,CRAL-TRIO,PC(40:6),PC
8041,RLBP1,CRAL-TRIO,PG(32:0),PG
8048,SCP2,scp2,PE(34:1),PE
8053,SCP2,scp2,PE(36:2),PE
8058,SCP2,scp2,PE(34:2),PE
8062,SCP2,scp2,PE(32:1),PE
8063,SCP2,scp2,PE(38:4),PE
8143,SCP2,scp2,PG(36:2),PG
8145,SCP2,scp2,PE(30:1),PE
8174,SCP2,scp2,PE(33:1),PE
8176,SCP2,scp2,PG(34:1),PG
8177,SCP2,scp2,PG(36:3),PG
8180,SCP2,scp2,PG(34:3),PG
8186,SCP2,scp2,PE(30:0),PE
8188,SCP2,scp2,PE(38:2),PE
8204,SCP2,scp2,PE(36:1),PE
8215,SCP2,scp2,PE(35:2),PE
8218,SCP2,scp2,PE(31:1),PE
8239,SCP2,scp2,PE(28:1),PE
8242,SCP2,scp2,PE(37:2),PE
8243,SCP2,scp2,PE(32:0),PE
8244,SCP2,scp2,PG(36:1),PG
8245,SCP2,scp2,PG(37:1),PG
8247,SCP2,scp2,PE(30:2),PE
8248,SCP2,scp2,PG(29:1),PG
8249,SCP2,scp2,PG(30:2),PG
8252,SCP2,scp2,PE(36:3),PE
8256,SCP2,scp2,LPG(16:1),LPG
8257,SCP2,scp2,PG(33:1),PG
8258,SCP2,scp2,PG(34:2),PG
8259,SCP2,scp2,PG(35:2),PG
8285,SCP2,scp2,PG(30:0),PG
8286,SCP2,scp2,PG(37:2),PG
8289,SCP2,scp2,PE(28:0),PE
8290,SCP2,scp2,PE(35:1),PE
8291,SCP2,scp2,PG(28:0),PG
8292,SCP2,scp2,PG(28:1),PG
8293,SCP2,scp2,PG(31:1),PG
8294,SCP2,scp2,PG(33:2),PG
8295,SCP2,scp2,PG(35:1),PG
8300,SCP2,scp2,LPG(19:1),LPG
8305,SCP2,scp2,PE(34:3),PE
8306,SCP2,scp2,PG(38:2),PG
8314,SCP2,scp2,PG(32:0),PG
8321,SCP2D1,scp2,PE(34:1),PE
8333,SCP2D1,scp2,PE(38:4),PE
8345,SCP2D1,scp2,PC(O-30:0)/LPC(30:0),LPC
8375,SCP2D1,scp2,PC(O-38:5)/LPC(38:5),LPC
8386,SCP2D1,scp2,PC(O-36:4)/LPC(36:4),LPC
8411,SCP2D1,scp2,FA(17:1),FA
8413,SCP2D1,scp2,PC(O-18:1)/LPC(18:1),LPC
8414,SCP2D1,scp2,PE(30:1),PE
8415,SCP2D1,scp2,FA(19:1),FA
8416,SCP2D1,scp2,LPE(16:0),LPE
8417,SCP2D1,scp2,FA(18:2),FA
8418,SCP2D1,scp2,FA(22:5),FA
8419,SCP2D1,scp2,FA(20:3),FA
8420,SCP2D1,scp2,FA(16:1),FA
8421,SCP2D1,scp2,FA(20:5),FA
8422,SCP2D1,scp2,FA(22:4),FA
8423,SCP2D1,scp2,FA(22:3),FA
8425,SCP2D1,scp2,FA(18:3),FA
8426,SCP2D1,scp2,PE(O-16:0)/LPE(16:0),LPE
8454,SCP2D1,scp2,PE(30:0),PE
8456,SCP2D1,scp2,PE(38:2),PE
8471,SCP2D1,scp2,PE(36:1),PE
8477,SCP2D1,scp2,PE(33:2),PE
8478,SCP2D1,scp2,PE(31:1),PE
8479,SCP2D1,scp2,PC(O-36:5)/LPC(36:5),LPC
8480,SCP2D1,scp2,PC(O-36:6)/LPC(36:6),LPC
8485,SCP2D1,scp2,PC(O-34:4)/LPC(34:4),LPC
8491,SCP2D1,scp2,PC(O-34:5)/LPC(34:5),LPC
8498,SCP2D1,scp2,PE(28:1),PE
8501,SCP2D1,scp2,PE(37:2),PE
8502,SCP2D1,scp2,PE(32:0),PE
8506,SCP2D1,scp2,PE(30:2),PE
8510,SCP2D1,scp2,PE(36:3),PE
8513,SCP2D1,scp2,LPE(16:1),LPE
8514,SCP2D1,scp2,LPG(16:1),LPG
8515,SCP2D1,scp2,PE(32:2),PE
8548,SCP2D1,scp2,PE(28:0),PE
8549,SCP2D1,scp2,PE(35:1),PE
8560,SCP2D1,scp2,PE(34:3),PE
8674,SEC14L4,CRAL-TRIO,FA(20:4),FA
8675,SEC14L4,CRAL-TRIO,FA(19:1),FA
8677,SEC14L4,CRAL-TRIO,FA(18:2),FA
8678,SEC14L4,CRAL-TRIO,FA(22:5),FA
8679,SEC14L4,CRAL-TRIO,FA(20:3),FA
8680,SEC14L4,CRAL-TRIO,FA(20:5),FA
8681,SEC14L4,CRAL-TRIO,FA(22:4),FA
8682,SEC14L4,CRAL-TRIO,FA(22:3),FA
8684,SEC14L4,CRAL-TRIO,FA(18:3),FA
8856,SEC14L5,CRAL-TRIO,PE(34:1),PE
8861,SEC14L5,CRAL-TRIO,PE(36:2),PE
8866,SEC14L5,CRAL-TRIO,PE(34:2),PE
8870,SEC14L5,CRAL-TRIO,PE(32:1),PE
8871,SEC14L5,CRAL-TRIO,PE(38:4),PE
8953,SEC14L5,CRAL-TRIO,PE(30:1),PE
8957,SEC14L5,CRAL-TRIO,LPE(16:0),LPE
8967,SEC14L5,CRAL-TRIO,PE(O-16:0)/LPE(16:0),LPE
8987,SEC14L5,CRAL-TRIO,PE(33:1),PE
8999,SEC14L5,CRAL-TRIO,PE(30:0),PE
9001,SEC14L5,CRAL-TRIO,PE(38:2),PE
9017,SEC14L5,CRAL-TRIO,PE(36:1),PE
9023,SEC14L5,CRAL-TRIO,PE(33:2),PE
9026,SEC14L5,CRAL-TRIO,PE(O-16:1)/LPE(16:1),LPE
9030,SEC14L5,CRAL-TRIO,PE(O-18:1)/LPE(18:1),LPE
9032,SEC14L5,CRAL-TRIO,PE(35:2),PE
9034,SEC14L5,CRAL-TRIO,LPE(18:0),LPE
9054,SEC14L5,CRAL-TRIO,PE(28:1),PE
9057,SEC14L5,CRAL-TRIO,PE(37:2),PE
9058,SEC14L5,CRAL-TRIO,PE(32:0),PE
9062,SEC14L5,CRAL-TRIO,PE(30:2),PE
9065,SEC14L5,CRAL-TRIO,LPE(18:1),LPE
9067,SEC14L5,CRAL-TRIO,PE(36:3),PE
9070,SEC14L5,CRAL-TRIO,LPE(16:1),LPE
9072,SEC14L5,CRAL-TRIO,PE(32:2),PE
9105,SEC14L5,CRAL-TRIO,PE(28:0),PE
9106,SEC14L5,CRAL-TRIO,PE(35:1),PE
9115,SEC14L5,CRAL-TRIO,LPE(19:1),LPE
9121,SEC14L5,CRAL-TRIO,PE(34:3),PE
9232,TTPA,CRAL-TRIO,PG(36:2),PG
9261,TTPA,CRAL-TRIO,PG(32:1),PG
9266,TTPA,CRAL-TRIO,PG(34:1),PG
9267,TTPA,CRAL-TRIO,PG(36:3),PG
9270,TTPA,CRAL-TRIO,PG(34:3),PG
9271,TTPA,CRAL-TRIO,PA(34:1),PA
9272,TTPA,CRAL-TRIO,PA(30:1),PA
9273,TTPA,CRAL-TRIO,PA(35:1),PA
9274,TTPA,CRAL-TRIO,PA(37:2),PA
9286,TTPA,CRAL-TRIO,PA(36:2),PA
9288,TTPA,CRAL-TRIO,PA(32:2),PA
9289,TTPA,CRAL-TRIO,PA(35:2),PA
9292,TTPA,CRAL-TRIO,PA(33:2),PA
9333,TTPA,CRAL-TRIO,PG(36:1),PG
9334,TTPA,CRAL-TRIO,PG(37:1),PG
9337,TTPA,CRAL-TRIO,PG(29:1),PG
