pair_id,LTPProtein,ProteinDomain,Lipid,fig3a_class
2788,PITPNA,IP_trans,PC(33:2),PC
2789,PITPNA,IP_trans,PC(38:6),PC
2792,PITPNA,IP_trans,PC(31:0),PC
2793,PITPNA,IP_trans,PC(40:7),PC
2794,PITPNA,IP_trans,PC(30:2),PC
2801,PITPNA,IP_trans,PC(38:7),PC
2804,PITPNA,IP_trans,PC(36:6),PC
2863,PITPNA,IP_trans,PC(40:4),PC
2864,PITPNA,IP_trans,PC(37:4),PC
2916,PITPNA,IP_trans,PC(40:8),PC
2917,PITPNA,IP_trans,PC(42:8),PC
2918,PITPNA,IP_trans,PC(37:5),PC
2919,PITPNA,IP_trans,PC(39:6),PC
2923,PITPNA,IP_trans,PC(34:4),PC
2924,PITPNA,IP_trans,PC(35:4),PC
2926,PITPNA,IP_trans,PC(42:10),PC
2992,PITPNA,IP_trans,PI(38:2),PI
2993,PITPNA,IP_trans,PI(38:3),PI
2994,PITPNA,IP_trans,PI(38:5),PI
3000,PITPNA,IP_trans,PC(39:4),PC
3001,PITPNA,IP_trans,PC(39:5),PC
3002,PITPNA,IP_trans,PC(40:5),PC
3003,PITPNA,IP_trans,PC(40:6),PC
3007,PITPNB,IP_trans,PC(32:2),PC
3009,PITPNB,IP_trans,PC(36:3),PC
3010,PITPNB,IP_trans,PC(33:1),PC
3011,PITPNB,IP_trans,PC(38:2),PC
3013,PITPNB,IP_trans,PC(19:1),PC
3018,PITPNB,IP_trans,PC(17:1),PC
3019,PITPNB,IP_trans,PC(31:1),PC
3022,PITPNB,IP_trans,PI(36:2),PI
3023,PITPNB,IP_trans,PI(36:1),PI
3024,PITPNB,IP_trans,PC(30:1),PC
3048,PITPNB,IP_trans,PC(40:2),PC
3052,PITPNB,IP_trans,PI(34:1),PI
3054,PITPNB,IP_trans,PC(36:4),PC
3055,PITPNB,IP_trans,PC(33:2),PC
3056,PITPNB,IP_trans,PC(38:5),PC
3057,PITPNB,IP_trans,PC(38:6),PC
3060,PITPNB,IP_trans,PC(31:0),PC
3061,PITPNB,IP_trans,PC(40:7),PC
3062,PITPNB,IP_trans,PC(30:2),PC
3069,PITPNB,IP_trans,PC(38:7),PC
3071,PITPNB,IP_trans,PC(36:5),PC
3073,PITPNB,IP_trans,PC(36:6),PC
3122,PITPNB,IP_trans,PG(32:1),PG
3129,PITPNB,IP_trans,PC(34:0),PC
3156,PITPNB,IP_trans,PG(30:1),PG
3157,PITPNB,IP_trans,PG(32:2),PG
3179,PITPNB,IP_trans,PC(40:8),PC
3180,PITPNB,IP_trans,PC(42:8),PC
3181,PITPNB,IP_trans,PC(37:5),PC
3182,PITPNB,IP_trans,PC(39:6),PC
3186,PITPNB,IP_trans,PC(34:4),PC
3187,PITPNB,IP_trans,PC(35:4),PC
3189,PITPNB,IP_trans,PC(42:10),PC
3196,PITPNB,IP_trans,PG(37:1),PG
3199,PITPNB,IP_trans,PG(29:1),PG
3200,PITPNB,IP_trans,PG(30:2),PG
3238,PITPNB,IP_trans,PG(28:0),PG
3239,PITPNB,IP_trans,PG(28:1),PG
3240,PITPNB,IP_trans,PG(31:1),PG
3241,PITPNB,IP_trans,PG(33:2),PG
3242,PITPNB,IP_trans,PG(35:1),PG
3249,PITPNB,IP_trans,PI(38:2),PI
3250,PITPNB,IP_trans,PI(38:3),PI
3251,PITPNB,IP_trans,PI(38:5),PI
3253,PITPNB,IP_trans,PG(38:2),PG
3257,PITPNB,IP_trans,PC(39:4),PC
3258,PITPNB,IP_trans,PC(39:5),PC
3259,PITPNB,IP_trans,PC(40:5),PC
3260,PITPNB,IP_trans,PC(40:6),PC
3261,PITPNB,IP_trans,PG(32:0),PG
4100,SEC14L6,CRAL-TRIO,PC(38:2),PC
4101,SEC14L6,CRAL-TRIO,PE(36:2),PE
4102,SEC14L6,CRAL-TRIO,PC(19:1),PC
4103,SEC14L6,CRAL-TRIO,PC(O-36:2),PC-O
4105,SEC14L6,CRAL-TRIO,PE(34:2),PE
4106,SEC14L6,CRAL-TRIO,PC(17:1),PC
4107,SEC14L6,CRAL-TRIO,PC(31:1),PC
4108,SEC14L6,CRAL-TRIO,PE(32:1),PE
4109,SEC14L6,CRAL-TRIO,PE(38:4),PE
