pair_id,LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,Screen,nearest_positive_lipid_same_protein,nearest_positive_tanimoto,exact_lipid_positive_family_protein_count,exact_lipid_positive_family_proteins,same_screen_family_protein_count,same_screen_family_proteins
10376,TTPA,CRAL-TRIO,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),PG/BMP(38:2),in vitro,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),1.0,1,TTPAL,1,TTPAL
10436,TTPA,CRAL-TRIO,Phosphatidylglycerophosphate (32:1),PGP(32:1),in vitro,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),1.0,1,RLBP1,1,RLBP1
10464,TTPAL,CRAL-TRIO,Phosphatidylcholine (36:1),PC(36:1),in cellulo,Phosphatidylcholine (36:2),1.0,1,SEC14L6,1,SEC14L6
10465,TTPAL,CRAL-TRIO,Phosphatidylcholine (32:2),PC(32:2),in cellulo,Phosphatidylcholine (36:2),1.0,1,SEC14L6,1,SEC14L6
10466,TTPAL,CRAL-TRIO,Phosphatidylcholine (36:3),PC(36:3),in cellulo,Phosphatidylcholine (36:2),1.0,1,SEC14L6,1,SEC14L6
10467,TTPAL,CRAL-TRIO,Phosphatidylcholine (33:1),PC(33:1),in cellulo,Phosphatidylcholine (36:2),1.0,1,SEC14L6,1,SEC14L6
10583,TTPAL,CRAL-TRIO,Bismonoacylglycerolphosphate (32:2);Phosphatidylglycerol (32:2),PG/BMP(32:2),in vitro,Phosphatidylglycerol (32:2),1.0,1,TTPA,1,TTPA
10588,TTPAL,CRAL-TRIO,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1),PG/BMP(32:1),in vitro,Phosphatidylglycerol (32:2),1.0,1,TTPA,1,TTPA
10600,TTPAL,CRAL-TRIO,Cardiolipin (64:2),CL(64:2),in vitro,Cardiolipin (67:2),1.0,1,RLBP1,1,RLBP1
10601,TTPAL,CRAL-TRIO,Cardiolipin (70:4),CL(70:4),in vitro,Cardiolipin (67:2),1.0,1,RLBP1,1,RLBP1
10602,TTPAL,CRAL-TRIO,Cardiolipin (67:3),CL(67:3),in vitro,Cardiolipin (67:2),1.0,1,RLBP1,1,RLBP1
10603,TTPAL,CRAL-TRIO,Cardiolipin (68:4),CL(68:4),in vitro,Cardiolipin (67:2),1.0,1,RLBP1,1,RLBP1
10609,TTPAL,CRAL-TRIO,Phosphatidylglycerol (38:2);Bismonoacylglycerolphosphate (38:2),PG/BMP(38:2),in vitro,Phosphatidylglycerol (32:2),1.0,1,RLBP1,1,RLBP1
10685,TTPAL,CRAL-TRIO,Cardiolipin (66:2),CL(66:2),in vitro,Cardiolipin (67:2),1.0,1,RLBP1,1,RLBP1
10686,TTPAL,CRAL-TRIO,Cardiolipin (66:3),CL(66:3),in vitro,Cardiolipin (67:2),1.0,1,RLBP1,1,RLBP1
10687,TTPAL,CRAL-TRIO,Phosphatidylglycerophosphate (32:1),PGP(32:1),in vitro,Phosphatidylglycerol (32:2),1.0,1,RLBP1,1,RLBP1
3205,PITPNA,IP_trans,Phosphatidylcholine (40:4),PC(40:4),in vitro,Phosphatidylcholine (38:4),1.0,1,PITPNB,1,PITPNB
3206,PITPNA,IP_trans,Phosphatidylcholine (37:4),PC(37:4),in vitro,Phosphatidylcholine (38:4),1.0,1,PITPNB,1,PITPNB
3375,PITPNB,IP_trans,Phosphatidylcholine (33:1),PC(33:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,PITPNA,1,PITPNA
3389,PITPNB,IP_trans,Phosphatidylcholine (30:1),PC(30:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,PITPNA,1,PITPNA
3500,PITPNB,IP_trans,Phosphatidylcholine (34:0),PC(34:0),in vitro,Phosphatidylcholine (30:0),1.0,1,PITPNA,1,PITPNA
1377,BPI,LBP_BPI_CETP,Phosphatidylcholine (30:1),PC(30:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,BPIFB2,1,BPIFB2
1379,BPI,LBP_BPI_CETP,Phosphatidylcholine (35:2),PC(35:2),in cellulo,Phosphatidylcholine (34:1),1.0,1,BPIFB2,1,BPIFB2
1380,BPI,LBP_BPI_CETP,Phosphatidylcholine (34:3),PC(34:3),in cellulo,Phosphatidylcholine (38:2),1.0,1,BPIFB2,1,BPIFB2
1381,BPI,LBP_BPI_CETP,Phosphatidylcholine (35:1),PC(35:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,BPIFB2,1,BPIFB2
1383,BPI,LBP_BPI_CETP,Phosphatidylcholine (O-32:2),PC(O-32:2),in cellulo,Phosphatidylcholine (O-36:2),1.0,1,BPIFB2,1,BPIFB2
1661,BPIFB2,LBP_BPI_CETP,Phosphatidylcholine (38:2),PC(38:2),in cellulo,Phosphatidylcholine (34:1),1.0,1,BPI,1,BPI
1663,BPIFB2,LBP_BPI_CETP,Phosphatidylcholine (19:1),PC(19:1),in cellulo,Phosphatidylcholine (17:1),1.0,1,BPI,1,BPI
1666,BPIFB2,LBP_BPI_CETP,Phosphatidylcholine (32:0),PC(32:0),in cellulo,Phosphatidylcholine (30:0),1.0,1,BPI,1,BPI
5123,STARD10,START,Phosphatidylcholine (36:1),PC(36:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5124,STARD10,START,Phosphatidylcholine (33:1),PC(33:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5129,STARD10,START,Phosphatidylcholine (31:1),PC(31:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5136,STARD10,START,Phosphatidylcholine (35:1),PC(35:1),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5138,STARD10,START,Phosphatidylcholine (O-32:2),PC(O-32:2),in cellulo,Phosphatidylcholine (O-36:2),1.0,1,STARD2,1,STARD2
5169,STARD10,START,Phosphatidylcholine (O-38:7),PC(O-38:7),in cellulo,Phosphatidylcholine (O-40:7),1.0,1,STARD2,1,STARD2
5172,STARD10,START,Phosphatidylcholine (38:3),PC(38:3),in cellulo,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5174,STARD10,START,Phosphatidylcholine (36:5),PC(36:5),in cellulo,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5175,STARD10,START,Phosphatidylcholine (O-36:1),PC(O-36:1),in cellulo,Phosphatidylcholine (O-36:2),1.0,1,STARD2,1,STARD2
5176,STARD10,START,Phosphatidylcholine (36:6),PC(36:6),in cellulo,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5232,STARD10,START,Phosphatidylcholine (40:4),PC(40:4),in vitro,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5233,STARD10,START,Phosphatidylcholine (37:4),PC(37:4),in vitro,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5271,STARD10,START,Phosphatidylcholine (O-36:5);Lysophosphatidylcholine (36:5),PC(O-36:5)/LPC(36:5),in vitro,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),1.0,1,STARD2,1,STARD2
5272,STARD10,START,Phosphatidylcholine (O-36:6);Lysophosphatidylcholine (36:6),PC(O-36:6)/LPC(36:6),in vitro,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),1.0,1,STARD2,1,STARD2
5273,STARD10,START,Phosphatidylcholine (O-37:6),PC(O-37:6),in vitro,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),1.0,1,STARD2,1,STARD2
5274,STARD10,START,Phosphatidylcholine (O-34:3),PC(O-34:3),in vitro,Phosphatidylcholine (O-36:2),1.0,1,STARD2,1,STARD2
5276,STARD10,START,Phosphatidylcholine (O-36:3),PC(O-36:3),in vitro,Phosphatidylcholine (O-36:2),1.0,1,STARD2,1,STARD2
5277,STARD10,START,Phosphatidylcholine (O-34:4);Lysophosphatidylcholine (34:4),PC(O-34:4)/LPC(34:4),in vitro,Phosphatidylcholine (40:7),1.0,1,STARD2,1,STARD2
5278,STARD10,START,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),PC(O-36:4)/LPC(36:4),in vitro,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),1.0,1,STARD2,1,STARD2
5279,STARD10,START,Phosphatidylcholine (40:8),PC(40:8),in vitro,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5280,STARD10,START,Phosphatidylcholine (42:8),PC(42:8),in vitro,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5281,STARD10,START,Phosphatidylcholine (37:5),PC(37:5),in vitro,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5282,STARD10,START,Phosphatidylcholine (39:6),PC(39:6),in vitro,Phosphatidylcholine (40:7),1.0,1,STARD2,1,STARD2
5284,STARD10,START,Lysophosphatidylcholine (34:5);Phosphatidylcholine (O-34:5),PC(O-34:5)/LPC(34:5),in vitro,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),1.0,1,STARD2,1,STARD2
5285,STARD10,START,Phosphatidylcholine (O-32:3),PC(O-32:3),in vitro,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),1.0,1,STARD2,1,STARD2
5286,STARD10,START,Phosphatidylcholine (34:4),PC(34:4),in vitro,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5287,STARD10,START,Phosphatidylcholine (35:4),PC(35:4),in vitro,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5361,STARD10,START,: Phosphatidylcholine (32:2),PC(32:2),in cellulo,Phosphatidylcholine (34:1),1.0,1,STARD2,1,STARD2
5365,STARD10,START,Phosphatidylcholine (40:6),PC(40:6),in cellulo,Phosphatidylcholine (38:4),1.0,1,STARD2,1,STARD2
5366,STARD10,START,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),PC(O-36:5)/LPC(36:5),in cellulo,Phosphatidylcholine (O-36:4); Lysophosphatidylcholine (36:4),1.0,1,STARD2,1,STARD2
