Unnamed: 0,SmileGlobal,SmileFragment,LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,ChainFragments,Screen,Interaction,index,OriginalFullIdentityOfLipid,IdentityCorrectionStatus
324,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; ,SCP2,scp2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),PG/BMP(33:1),(17:1/16:0),in vitro,1,,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),ambiguous_unresolved_no_mapping
325,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCC)=O)(=O)O; ,SCP2,scp2,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1),PG/BMP(30:1),(16:1/14:0),in vitro,1,,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1),ambiguous_unresolved_no_mapping
335,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCC)=O)COC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; ,0,SCP2D1,scp2,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),PG/BMP(36:2),(18:1/18:1),in vitro,1,,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),ambiguous_unresolved_no_mapping
336,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; ,SCP2D1,scp2,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2),PG/BMP(34:2),(16:1/18:1),in vitro,1,,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2),ambiguous_unresolved_no_mapping
339,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; ,SCP2D1,scp2,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),PG/BMP(33:1),(17:1/16:0),in vitro,1,,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),ambiguous_unresolved_no_mapping
345,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O; ,SCP2D1,scp2,Phosphatidylglycerol (35:1);Bismonoacylglycerolphosphate (35:1),PG/BMP(35:1),(19:1/16:0),in vitro,1,,Phosphatidylglycerol (35:1);Bismonoacylglycerolphosphate (35:1),ambiguous_unresolved_no_mapping
389,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O,0,STARD10,START,Phosphatidylglycerol (32:3);Bismonoacylglycerolphosphate (32:3),PG/BMP(32:3),(16:2/16:1),in vitro,1,,Phosphatidylglycerol (32:3);Bismonoacylglycerolphosphate (32:3),ambiguous_unresolved_no_mapping
390,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; ,STARD10,START,Phosphatidylglycerol (28:1);Bismonoacylglycerolphosphate (28:1),PG/BMP(28:1),(16:1/12:0),in vitro,1,,Phosphatidylglycerol (28:1);Bismonoacylglycerolphosphate (28:1),ambiguous_unresolved_no_mapping
392,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; ,TTPA,CRAL-TRIO,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),PG/BMP(33:1),(17:1/16:0),in vitro,1,,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),ambiguous_unresolved_no_mapping
394,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; ,TTPA,CRAL-TRIO,Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2),PG/BMP(33:2),(16:1/17:1),in vitro,1,,Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2),ambiguous_unresolved_no_mapping
412,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O,0,TTPAL,CRAL-TRIO,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),PG/BMP(38:2),(19:1/19:1),in vitro,1,,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),ambiguous_unresolved_no_mapping
415,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; ,TTPAL,CRAL-TRIO,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1),PG/BMP(30:1),(14:1/16:0),in vitro,1,,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1),ambiguous_unresolved_no_mapping
422,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; ,TTPAL,CRAL-TRIO,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),PG/BMP(34:3),(16:1/18:2),in vitro,1,,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),ambiguous_unresolved_no_mapping
426,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; ,TTPAL,CRAL-TRIO,Phosphatidylglycerol (29:1);Bismonoacylglycerolphosphate (29:1),PG/BMP(29:1),(17:1/12:0),in vitro,1,,Phosphatidylglycerol (29:1);Bismonoacylglycerolphosphate (29:1),ambiguous_unresolved_no_mapping
705,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; ,TTPA,CRAL-TRIO,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2),PG/BMP(34:2),(16:1/18:1),in vitro,1,,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2),ambiguous_unresolved_no_mapping
788,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCC)=O)COC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; ,0,ATCAY,CRAL-TRIO,Phosphatidylglycerol (36:2); Bismonoacylglycerolphosphate (36:2),PG/BMP(36:2),(18:1/18:1),in cellulo,0,34.0,Phosphatidylglycerol (36:2); Bismonoacylglycerolphosphate (36:2),ambiguous_unresolved_no_mapping
812,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; ,ATCAY,CRAL-TRIO,Phosphatidylglycerol (38:3); Bismonoacylglycerolphosphate (38:3),PG/BMP(38:3),(20:2/18:1),in cellulo,0,58.0,Phosphatidylglycerol (38:3); Bismonoacylglycerolphosphate (38:3),ambiguous_unresolved_no_mapping
886,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCC)=O)(=O)O; ,ATCAY,CRAL-TRIO,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1),PG/BMP(30:1),(16:1/14:0),in vitro,0,132.0,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1),ambiguous_unresolved_no_mapping
894,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; ,ATCAY,CRAL-TRIO,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2),PG/BMP(34:2),(16:1/18:1),in vitro,0,140.0,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2),ambiguous_unresolved_no_mapping
895,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; ,ATCAY,CRAL-TRIO,Phosphatidylglycerol (33:1);Bismonoacylglycerolphosphate (33:1),PG/BMP(33:1),(17:1/16:0),in vitro,0,141.0,Phosphatidylglycerol (33:1);Bismonoacylglycerolphosphate (33:1),ambiguous_unresolved_no_mapping
896,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O; ,ATCAY,CRAL-TRIO,Bismonoacylglycerolphosphate (35:2);Phosphatidylglycerol (35:2),PG/BMP(35:2),(17:1/18:1),in vitro,0,142.0,Bismonoacylglycerolphosphate (35:2);Phosphatidylglycerol (35:2),ambiguous_unresolved_no_mapping
904,0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O; [H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O; ,ATCAY,CRAL-TRIO,Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2),PG/BMP(33:2),(17:1/16:1),in vitro,0,150.0,Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2),ambiguous_unresolved_no_mapping
