LTP,Lipid,Lipid Chains,Lipid SMILES,Lipid Volumes (Å3)
BPIFB2,PC(34:3),Phosphatidylcholine (34:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,668.19200000000001
BPIFB2,PC(35:1),Phosphatidylcholine (35:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O,682.66700000000003
BPIFB2,PC(35:2),Phosphatidylcholine (35:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,679.93600000000004
BPIFB2,PC(36:1),Phosphatidylcholine (36:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,698.58525000000009
BPIFB2,PC(36:2),Phosphatidylcholine (36:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,694.95666666666659
BPIFB2,PC(36:3),Phosphatidylcholine (36:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCCCCCC)=O,695.18499999999995
BPIFB2,PC(O-30:0)/LPC(30:0),Lysophosphatidylcholine (30:0); Phosphatidylcholine (O-30:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCC)=O)COCCCCCCCCCCCCCCC,612.03449999999998
BPIFB2,PC(O-32:0),Phosphatidylcholine (O-32:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COCCCCCCCCCCCCCCCCCC,638.82799999999997
BPIFB2,PC(O-32:1),Phosphatidylcholine (O-32:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COCCCCCCCCCCCCCCCC,636.32399999999996
BPIFB2,PC(O-32:2),Phosphatidylcholine (O-32:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)CO/C=C\CCCCCCCC/C=C\CCCCCC,636.61599999999999
