SmileGlobal,SmileFragment,LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,Screen,Novel
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d39:1);Sphingomyelin (DH39:1),SM(d*39:1),in vitro,new
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCC/C=C\CCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC,0,GLTPD1,GLTP,Sphingomyelin (d34:2);Sphingomyelin (DH34:2),SM(d*34:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,GLTPD1,GLTP,Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1) => (16:1/14:0),PG/BMP(30:1),in vitro,new
[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,0,GLTPD1,GLTP,Bismonoacylglycerolphosphate (32:2);Phosphatidylglycerol (32:2) => (16:1/16:1),PG/BMP(32:2),in vitro,new
O(P(=O)(OC[C@]([H])(NC(=O)CCCCCCCCCCCCCCCCC)[C@]([H])(O)/C=C/CCCCCCCCCCCCC)[O-])CC[N+](C)(C)C,0,GLTPD1,GLTP,Sphingomyelin (d36:1);Sphingomyelin (DH36:1),SM(d*36:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O,LCN15,lipocalin,Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1) => (16:1/16:0),PG/BMP(32:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O,LCN15,lipocalin,Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2) => (16:1/18:1),PG/BMP(34:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O,LCN15,lipocalin,Phosphatidylglycerol (33:1);Bismonoacylglycerolphosphate (33:1) => (17:1/16:0),PG/BMP(33:1),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,LCN15,lipocalin,Bismonoacylglycerolphosphate (35:2);Phosphatidylglycerol (35:2) => (17:1/18:1),PG/BMP(35:2),in vitro,new
0,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O,PITPNB,IP_trans,Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2) => (17:1/16:1),PG/BMP(33:2),in vitro,new
