label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,valid_isolation,valid_cross_mean,valid_seen_lipid_share,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,balanced_accuracy,F1,TP_share,FP_share,TN_share,FN_share
deepclip_f1_normal_mean_cral_trio_iso85_ep120,groups_isocral-trio__0.85_groups_cral-trio,0,lipid_isolation,0.8464869856834412,0.5710984468460083,0.0,0.8585784435272217,0.5855293273925781,0.0,393,24,24,17,0.7083333333333334,4,131,48,1055,17.0,2.0,5.0,0.0,0.857143,0.944444,0.7083333333333334,0.08333333333333333,0.20833333333333334,0.0
deepclip_f1_normal_mean_cral_trio_iso85_ep120,groups_isocral-trio__0.85_groups_cral-trio,3,lipid_isolation,0.8469803333282471,0.571558952331543,0.0,0.8471404910087585,0.5704452395439148,0.0,393,24,24,17,0.7083333333333334,3,131,50,1014,13.0,4.0,3.0,4.0,0.596639,0.764706,0.5416666666666666,0.16666666666666666,0.125,0.16666666666666666
deepclip_f1_normal_mean_cral_trio_iso85_ep120,groups_isocral-trio__0.85_groups_cral-trio,1,lipid_isolation,0.8477003574371338,0.5735892653465271,0.0,0.8546839356422424,0.5776553153991699,0.0,393,24,24,17,0.7083333333333334,4,131,55,1010,17.0,1.0,6.0,0.0,0.928571,0.971429,0.7083333333333334,0.041666666666666664,0.25,0.0
deepclip_f1_normal_mean_cral_trio_iso85_ep120,groups_isocral-trio__0.85_groups_cral-trio,2,lipid_isolation,0.8516862392425537,0.5721970796585083,0.0,0.853646993637085,0.5799679160118103,0.0,393,24,24,17,0.7083333333333334,4,131,50,986,17.0,2.0,5.0,0.0,0.857143,0.944444,0.7083333333333334,0.08333333333333333,0.20833333333333334,0.0
deepclip_f1_normal_mean_cral_trio_iso85_ep120,groups_isocral-trio__0.85_groups_cral-trio,4,lipid_isolation,0.8552156090736389,0.5799505114555359,0.0,0.8384314179420471,0.5640923380851746,0.0,393,24,24,17,0.7083333333333334,4,131,50,931,17.0,5.0,2.0,0.0,0.642857,0.871795,0.7083333333333334,0.20833333333333334,0.08333333333333333,0.0
deepclip_f1_normal_mean_cral_trio_warm_ep120,groups_cral-trio,1,family_only,0.9963903427124023,0.6314918994903564,0.6756756756756757,0.9973589777946472,0.6124581694602966,0.8108108108108109,421,37,37,13,0.35135135135135137,6,139,176,993,10.0,6.0,18.0,3.0,0.759615,0.689655,0.2702702702702703,0.16216216216216217,0.4864864864864865,0.08108108108108109
deepclip_f1_normal_mean_cral_trio_warm_ep120,groups_cral-trio,0,family_only,0.9968230724334717,0.6402987837791443,0.6944444444444444,0.9981859922409058,0.6061952710151672,0.7894736842105263,421,38,36,11,0.3055555555555556,7,142,158,1011,9.0,10.0,15.0,2.0,0.709091,0.6,0.25,0.2777777777777778,0.4166666666666667,0.05555555555555555
deepclip_f1_normal_mean_cral_trio_warm_ep120,groups_cral-trio,4,family_only,0.9982314705848694,0.6199170351028442,0.8378378378378378,0.9985915422439575,0.5674946308135986,0.6756756756756757,421,37,37,13,0.35135135135135137,8,139,153,1073,11.0,11.0,13.0,2.0,0.69391,0.628571,0.2972972972972973,0.2972972972972973,0.35135135135135137,0.05405405405405406
deepclip_f1_normal_mean_cral_trio_warm_ep120,groups_cral-trio,3,family_only,0.9993079900741577,0.6427928805351257,0.8157894736842105,0.9997326135635376,0.6387895345687866,0.8055555555555556,421,36,38,13,0.34210526315789475,8,140,153,1065,11.0,9.0,16.0,2.0,0.743077,0.666667,0.2894736842105263,0.23684210526315788,0.42105263157894735,0.05263157894736842
deepclip_f1_normal_mean_cral_trio_warm_ep120,groups_cral-trio,2,family_only,0.9995688199996948,0.6234505772590637,0.8055555555555556,0.9997873902320862,0.618324339389801,0.6578947368421053,421,38,36,13,0.3611111111111111,5,138,191,1044,10.0,7.0,16.0,3.0,0.732441,0.666667,0.2777777777777778,0.19444444444444445,0.4444444444444444,0.08333333333333333
